,id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
1689,6762829197,42518,2,1.0,7.01301578963963,10.167849819666293,1.0,0,0,3,6,7.01301578963963,0.0,1951,0,122056,52.7011,-114.481,7.714677473800927,9.413770891980372,1,55,12.429220196836383
1690,6762829429,42518,3,1.5,7.147559271189454,9.358846580275406,1.0,0,0,4,7,7.147559271189454,0.0,1964,0,122067,52.6375,-114.386,7.2305631534092925,9.204925739274683,3,61,12.415121329251784
1691,6762829934,42518,4,2.0,7.333676395657684,8.760296220470051,2.0,0,0,3,7,7.333676395657684,0.0,1942,1983,122046,52.6992,-114.352,7.313886831633462,9.072571442231286,2,63,12.35017731849889
1692,6762829948,42518,2,1.0,6.85751406254539,8.93075873555827,1.0,0,0,3,6,6.85751406254539,0.0,1958,0,122046,52.6799,-114.366,7.057036981697891,8.93075873555827,2,65,12.345838935721968
1693,6762830537,42518,3,1.75,7.372118028337787,8.938269147038548,2.0,0,0,3,7,7.372118028337787,0.0,1986,0,122043,52.6119,-114.502,7.307202314764738,8.916103530553727,2,61,12.25486757159303
1694,6762831391,42518,3,1.0,7.1316985104669115,8.740496729931813,1.0,0,0,2,7,6.93828448401696,5.3981627015177525,1949,0,122059,52.7592,-114.513,7.030857476116121,8.740496729931813,3,63,11.951186847493476
1695,6762831466,42518,3,1.0,6.918695219020472,8.610865667278873,1.0,0,0,3,6,6.918695219020472,0.0,1954,0,122056,52.7062,-114.483,7.462214939768189,9.274159884689137,2,75,11.884495917930655
1700,6762810666,42519,6,2.75,8.648396877031582,9.90353755128617,1.0,0,4,4,10,7.955425088912672,7.955425088912672,1977,0,122027,52.7901,-114.35,8.213652703029998,9.661479683575521,2,53,14.144815024531075
1701,6762810698,42519,3,2.5,7.645397699428633,8.699681400989514,1.5,0,0,4,9,7.645397699428633,0.0,1928,0,122004,52.8867,-114.471,7.912423121473705,8.699681400989514,3,53,14.130322027731049
1702,6762810877,42519,4,2.5,8.055475141757274,9.525224101853109,2.0,0,0,4,9,8.055475141757274,0.0,1966,0,122057,52.7609,-114.414,8.071218539969863,9.38437770918244,1,75,14.04662307257814
1704,6762811966,42519,4,3.5,8.232440158470336,8.517393171418904,2.0,0,0,3,9,7.95892649305011,6.803505257608338,2014,0,122007,52.9126,-114.584,7.201170883281678,8.517393171418904,3,67,13.731264445014508
1705,6762812374,42519,3,2.25,8.026496938945412,9.400630098419315,2.0,0,0,3,10,8.026496938945412,0.0,1983,0,122027,52.7911,-114.296,8.026496938945412,9.346268889200427,3,66,13.664688831019712
1707,6762812710,42519,3,2.5,7.930565854233965,9.389741000342473,2.0,0,0,3,9,7.930565854233965,0.0,2009,0,122033,52.9427,-114.406,7.473637108496206,9.17378011666438,2,50,13.623745753728624
1709,6762813603,42519,3,1.75,7.438971592395862,9.036106025364846,1.0,0,0,3,8,7.2868764117507,5.484796933490655,1947,0,122032,52.8834,-114.605,7.606387389772652,8.853808274977197,1,64,13.527829818844937
1710,6762813604,42519,4,2.75,7.8636512654486515,8.449984441722787,1.0,0,0,3,8,7.353081920515432,6.947937068614969,1976,0,122006,52.9082,-114.476,7.8636512654486515,8.716044050161402,2,65,13.527829818844937
1711,6762813771,42519,5,3.75,8.291797105048733,9.846811375342572,2.0,0,0,3,8,8.036249942132116,6.803505257608338,1937,2010,122022,52.9528,-114.5,7.640603826393634,9.189525232262262,2,53,13.51440681653079
1712,6762813846,42519,4,3.0,7.951911381854188,8.323851131338817,1.5,0,0,4,8,7.630946580890459,6.660575149839686,1931,0,122051,52.7983,-114.473,7.518064181233078,8.677950570294351,1,71,13.507627138738266
1713,6762814153,42519,4,1.75,8.137688184977605,8.881975184248867,1.0,0,3,5,8,7.479299637782834,7.409136443920128,1947,0,122022,52.9381,-114.467,7.804251383528112,8.732465848349879,1,62,13.480039220276565
1714,6762814348,42519,4,2.5,7.745435610274381,8.18060094759445,1.5,0,0,3,7,7.307202314764738,6.710523109452428,1927,2014,122028,52.9189,-114.537,7.365812837209472,8.026496938945412,2,78,13.45883704259595
1715,6762814629,42519,4,2.5,7.745435610274381,8.537191877922927,2.0,0,0,3,9,7.745435610274381,0.0,2013,0,122050,52.9339,-114.55,7.13966033596492,8.537191877922927,3,59,13.437175577097312
1716,6762815105,42519,4,2.5,8.068089626278244,9.339261152043022,1.0,0,0,5,8,7.701200180857446,6.8885724595653635,1946,0,122022,52.934,-114.49,7.00397413672268,9.04793908261736,1,66,13.398480330934175
1717,6762815151,42519,4,2.25,7.630946580890459,9.044403844431551,1.0,0,0,3,8,7.273092595999522,6.431331081933479,1983,0,122027,52.7905,-114.314,7.687538766201629,9.102643796520809,3,65,13.39239204133378
1718,6762815230,42519,2,2.5,7.462214939768189,7.824445930877619,2.0,0,2,3,8,7.099201743553092,6.274762021241939,1994,0,122047,52.852,-114.49,7.403061091090091,7.824445930877619,2,57,13.384729180332174
1719,6762815388,42519,2,1.0,7.544861068658458,8.556990661290303,1.5,0,0,4,7,7.544861068658458,0.0,1909,0,122007,52.9086,-114.569,7.421177528595393,8.537191877922927,1,65,13.377782038454312
1720,6762815444,42519,3,2.5,7.890208213109961,9.218606116393214,1.0,0,0,3,10,7.890208213109961,0.0,1987,0,122019,52.8659,-114.235,7.916078096302786,9.292381082312392,1,59,13.372345140303285
1721,6762815445,42519,4,2.5,7.848153086199526,9.080345575359996,2.0,0,0,3,9,7.848153086199526,0.0,1992,0,122011,52.8017,-114.181,7.930565854233965,9.03097444300786,2,63,13.372345140303285
1722,6762815757,42519,4,3.25,8.352554369474591,10.151908911034607,2.0,0,3,3,10,8.174984532943087,6.53813982376767,1989,0,122018,52.5541,-114.568,8.186185994226083,10.125350283950615,1,62,13.345508528717259
1724,6762817320,42519,3,1.5,7.601402334583733,8.902591637374087,1.0,0,0,3,8,7.601402334583733,0.0,1953,0,122050,52.9361,-114.558,7.544861068658458,8.848078421168667,1,56,13.235693848424024
1725,6762817819,42519,4,2.5,7.908754738783246,8.463581421967588,2.0,0,0,3,8,7.908754738783246,0.0,2012,0,122008,52.745,-114.059,7.85979918056211,8.655388690167637,3,53,13.208542908506082
1726,6762818246,42519,3,2.5,7.576097340623111,9.20099685697303,2.0,0,0,3,8,7.576097340623111,0.0,1988,0,122019,52.8663,-114.215,7.528869256642251,8.94767606249969,3,64,13.180634172318978
1727,6762819259,42519,4,2.75,7.8713112033234065,8.702842538302868,2.0,0,0,3,8,7.8713112033234065,0.0,2013,0,122025,52.714,-113.961,7.934155233536322,8.812396905266864,1,76,13.121226731667244
1728,6762819471,42519,3,1.75,7.560601162768557,8.595264726836392,1.0,0,2,4,7,6.8679744089702925,6.8679744089702925,1947,0,122064,52.7883,-114.57,7.0825485693553,8.595264726836392,1,71,13.102162710901053
1729,6762819565,42519,3,2.5,7.72356247227797,9.894547710966654,2.0,0,0,3,9,7.72356247227797,0.0,1994,0,122046,52.678,-114.278,7.919719760924575,10.030956857781932,2,53,13.100119813444692
1731,6762820271,42519,4,2.25,7.507141079727608,9.920836190870741,1.0,0,0,5,8,7.201170883281678,6.175867270105761,1977,0,122021,52.9715,-114.286,7.147559271189454,9.45727857185611,2,74,13.049794835104816
1732,6762820518,42519,3,1.75,7.855932199718614,9.305741456739435,1.0,0,0,4,7,7.1631723908466425,7.1631723908466425,1951,0,122027,52.7946,-114.371,7.732369222284388,9.77815106122483,2,60,13.038766527911386
1733,6762820555,42519,5,2.5,8.036249942132116,10.054748346376712,1.0,0,0,3,8,8.003363058629947,4.61512051684126,1957,0,122017,53.0009,-114.402,7.848153086199526,9.840228212896937,2,66,13.034626646500051
1734,6762821800,42519,5,2.75,7.7057128238944275,8.294299608857235,1.0,0,0,3,7,7.115582126184454,6.898714534329988,1973,0,122054,52.8054,-114.495,7.365812837209472,8.294299608857235,2,54,12.964541634128395
1735,6762821839,42519,3,1.75,7.427144133408616,8.006700845440367,1.0,0,2,4,6,6.734591659972948,6.734591659972948,1900,0,122028,52.916,-114.536,7.340186835320115,8.216358332386156,2,53,12.959846800844963
1737,6762821841,42519,3,2.25,7.507141079727608,8.994544758324512,1.0,0,0,3,7,7.13966033596492,6.329720905522696,1974,0,122033,52.9541,-114.358,7.523481312573497,8.90720619496548,1,50,12.959846800844963
1738,6762822275,42519,2,1.75,7.201170883281678,8.447843113281444,1.0,0,0,3,8,7.201170883281678,0.0,2004,0,122045,52.9482,-114.224,7.208600337960199,8.351610750626559,1,56,12.936036208848487
1739,6762822990,42519,2,1.0,6.846943139585379,8.476579508530941,1.0,0,0,4,6,6.846943139585379,0.0,1911,1955,122009,52.8056,-114.604,6.8885724595653635,8.682877107057168,1,67,12.896719202134523
1740,6762823103,42519,4,2.5,7.976251943745623,8.517393171418904,2.0,0,0,3,8,7.976251943745623,0.0,2002,0,122035,52.6082,-114.317,7.916078096302786,8.526351129201004,3,62,12.886643575525625
1741,6762823441,42519,3,2.0,7.659642954564682,8.93075873555827,1.0,0,0,3,9,7.659642954564682,0.0,1991,0,122046,52.665,-114.35,7.886457270977689,8.94910546953925,1,67,12.863595239117187
1742,6762823463,42519,3,1.0,7.107425474110705,8.476579508530941,1.0,0,0,3,6,7.107425474110705,0.0,1901,0,122044,52.8401,-114.497,7.0909098220799835,8.476579508530941,2,50,12.861001210669146
1743,6762823541,42519,3,2.5,7.528869256642251,8.213652703029998,2.0,0,0,3,7,7.528869256642251,0.0,2000,0,122058,53.006,-114.429,7.534228326274089,8.388222810119277,2,79,12.860871332442787
1744,6762823981,42519,3,1.0,7.0909098220799835,9.19023970026918,1.0,0,0,4,7,7.0909098220799835,0.0,1971,0,122021,52.9712,-114.299,7.107425474110705,9.232199706329077,2,78,12.832013750189885
1745,6762824161,42519,3,2.0,7.346655163176539,9.04899722156742,1.0,0,0,3,7,7.048386408721883,5.993961427306569,1959,0,122034,52.7599,-114.534,7.518064181233078,8.938662873666118,2,61,12.818554633046093
1746,6762824243,42519,3,2.25,7.307202314764738,8.416930769477844,2.0,0,0,3,7,7.307202314764738,0.0,2009,0,122058,52.9911,-114.423,7.365812837209472,8.448485993406447,3,78,12.808340067459985
1747,6762824608,42519,2,1.0,6.994849985833071,8.517393171418904,1.0,0,0,4,7,6.594413459749778,5.8888779583328805,1942,0,122064,52.7558,-114.568,6.898714534329988,8.566173813637858,2,59,12.784653174819363
1748,6762825029,42519,3,2.5,7.696667081526462,8.892748769118258,2.0,0,0,3,8,7.696667081526462,0.0,1990,0,122046,52.6924,-114.322,7.692113339595466,9.057305735807121,2,78,12.765405536311112
1749,6762825718,42519,2,1.0,6.90875477931522,8.471568013389962,1.0,0,0,4,6,6.90875477931522,0.0,1942,0,122059,52.7919,-114.505,7.313886831633462,8.476579508530941,3,70,12.712893259942282
1751,6762826002,42519,3,1.75,7.687538766201629,9.23317760587894,1.0,0,0,4,7,6.994849985833071,6.994849985833071,1961,0,122051,52.7458,-114.471,7.664346632098617,8.881975184248867,3,55,12.691583538230217
1752,6762826211,42519,4,2.5,7.732369222284388,8.881975184248867,2.0,0,0,3,8,7.732369222284388,0.0,1994,0,122065,52.6129,-114.397,7.719129840906732,8.881975184248867,1,64,12.682309930111785
1754,6762827199,42519,3,1.0,7.099201743553092,9.161780181360806,1.0,0,0,3,7,7.099201743553092,0.0,1955,0,122034,52.7574,-114.535,7.427144133408616,8.938662873666118,2,69,12.611374406964662
1755,6762827923,42519,2,1.0,7.53955882930103,8.93075873555827,1.0,0,0,3,6,6.846943139585379,6.846943139585379,1919,0,122064,52.7561,-114.564,7.155396301896734,8.93075873555827,3,72,12.54254845357358
1756,6762828797,42519,3,1.75,6.957497370876951,8.674367865788236,1.0,0,0,3,7,6.957497370876951,0.0,1980,0,122031,52.6874,-114.548,7.107425474110705,9.091669442258505,3,73,12.468440756144114
1757,6762829322,42519,4,1.0,7.1631723908466425,8.517393171418904,1.5,0,0,3,7,7.1631723908466425,0.0,1957,0,122052,52.743,-114.548,7.273092595999522,7.824445930877619,2,53,12.429020177633873
1758,6762829621,42519,3,2.0,7.193685818395112,8.699681400989514,1.0,0,0,4,7,6.447305862541213,6.55250788703459,1900,0,122059,52.7555,-114.517,7.039660349862076,8.699681400989514,3,52,12.388398368982115
1759,6762830899,42519,3,2.0,7.353081920515432,8.902863672196222,1.0,0,0,3,6,7.353081920515432,0.0,1992,0,122039,52.5104,-114.441,7.02197642307216,8.981052985901483,1,54,12.188117410753133
1760,6762830980,42519,3,2.25,7.372118028337787,9.371268036082466,1.0,0,0,3,7,6.994849985833071,6.2166061010848646,1978,0,122039,52.5853,-114.47,7.340186835320115,9.435960853165286,1,67,12.154784614286667
1761,6762831282,42519,2,1.5,7.107425474110705,8.18004072349016,1.5,0,0,4,8,7.107425474110705,0.0,1976,0,122043,52.6104,-114.508,7.074116816197362,8.210396255104774,3,78,12.031725210748633
1762,6762814520,42520,3,2.5,7.8083230503910555,9.395075679994072,2.0,0,0,3,9,7.8083230503910555,0.0,1996,0,122005,52.921,-114.285,7.840312983320164,9.411647228681218,1,61,13.448786721172443
1765,6762816655,42520,4,2.5,7.844240718141811,8.741456115998364,2.0,0,0,3,9,7.844240718141811,0.0,1992,0,122021,53.0042,-114.356,7.8083230503910555,9.01881660441743,2,75,13.282781802386296
1766,6762818052,42520,5,2.75,7.640603826393634,9.48721424571136,2.0,0,0,3,8,7.640603826393634,0.0,1987,0,122019,52.8588,-114.221,7.616283561580385,9.379914355947635,2,61,13.197264891762993
1767,6762827617,42520,3,2.5,7.581209826196346,8.15507488781144,2.0,0,0,3,7,7.581209826196346,0.0,2004,0,122053,52.7102,-114.37,7.848153086199526,8.160803920954665,3,68,12.577467222169135
1768,6762810448,42521,5,3.0,8.200013648175434,9.016755622903517,2.0,0,3,3,10,7.840312983320164,7.00397413672268,1982,0,122029,52.8142,-114.301,8.11102783819368,9.27275163209758,2,64,14.285514812209815
1769,6762810531,42521,4,3.5,8.15507488781144,8.886409166849282,2.0,0,0,3,9,7.855932199718614,6.803505257608338,1926,2010,122054,52.8159,-114.481,7.7752758464868625,8.63817111796914,1,80,14.227620871042543
1770,6762812553,42521,4,2.0,7.875119281040293,9.709660055555972,2.0,0,0,4,8,7.875119281040293,0.0,1953,0,122048,52.869,-114.409,7.890208213109961,9.615938804529582,3,58,13.645316366503913
1771,6762815051,42521,4,1.75,7.930565854233965,9.200391041122515,2.0,0,0,4,10,7.930565854233965,0.0,1978,0,122019,52.8648,-114.25,7.8636512654486515,9.392745258631441,2,72,13.399996629152975
1772,6762820526,42521,3,1.75,7.390798521735676,8.899867211223587,1.0,0,0,4,7,6.994849985833071,6.274762021241939,1974,0,122033,52.9448,-114.403,7.2305631534092925,8.880724576151456,3,62,13.036807667689546
1773,6762829198,42521,1,1.0,6.621405651764134,8.294299608857235,1.0,0,0,3,6,6.621405651764134,0.0,1918,0,122016,52.7543,-114.58,7.479299637782834,8.486940148245216,3,67,12.429220196836383
1774,6762829570,42521,3,1.75,7.490529402060711,9.392745258631441,1.0,0,0,3,7,6.947937068614969,6.621405651764134,1960,0,122043,52.6245,-114.503,7.518064181233078,9.392745258631441,1,54,12.400820837540556
1776,6762810890,42522,5,3.25,8.058643712215618,9.490922297937656,2.0,0,0,5,8,8.058643712215618,0.0,1972,0,122057,52.7673,-114.414,7.766840537085513,9.39623885726048,1,74,14.038654909278163
1777,6762811391,42522,3,2.5,7.7102051944325325,8.657129031713755,2.0,0,0,3,9,7.7102051944325325,0.0,2003,0,122010,52.9238,-114.403,7.550135342488429,9.01663425631559,2,58,13.854732232655556
1778,6762811482,42522,3,2.5,7.912423121473705,8.671286726753637,2.0,0,0,3,9,7.912423121473705,0.0,1998,0,122049,52.8516,-114.351,7.766840537085513,8.671286726753637,3,58,13.815511557963774
1779,6762811583,42522,3,1.75,7.421177528595393,8.594339400592892,2.0,0,0,5,8,7.421177528595393,0.0,1912,0,122047,52.865,-114.474,7.650168700845001,8.594339400592892,3,74,13.800397935382136
1780,6762811682,42522,4,2.5,7.8083230503910555,8.517393171418904,2.0,0,0,5,8,7.390798521735676,6.734591659972948,1938,0,122047,52.8582,-114.483,7.749753406274437,8.517393171418904,1,61,13.779884416590017
1782,6762811827,42522,4,2.75,8.092851027538384,9.463508636396089,2.0,0,0,3,9,8.092851027538384,0.0,2014,0,122010,52.8979,-114.362,7.791935956938058,8.923457979694966,1,72,13.752571823152559
1783,6762812295,42522,4,3.0,8.412054873292933,9.988793309115229,2.0,0,2,3,9,8.019941687677365,7.2868764117507,1980,0,122057,52.7881,-114.403,8.172164452111904,9.926911067479717,2,64,13.676249640055394
1784,6762812776,42522,3,1.75,7.6783263565068856,8.744009988096744,1.0,0,0,4,8,7.237778191923443,6.647688373563329,1960,0,122006,52.9077,-114.496,7.1631723908466425,8.589885876809678,3,54,13.617060838751888
1785,6762812900,42522,4,1.5,7.518064181233078,8.37516869138682,2.0,0,0,4,8,7.518064181233078,0.0,1917,0,122047,52.8612,-114.497,7.719129840906732,8.37516869138682,2,73,13.603555432133808
1786,6762812954,42522,2,2.5,7.701200180857446,8.75273950944749,1.0,0,0,3,8,7.701200180857446,0.0,2003,0,122045,52.9414,-114.22,7.682943169878292,8.75273950944749,1,57,13.594865133730668
1788,6762813909,42522,4,2.0,7.766840537085513,8.699681400989514,1.0,0,0,5,7,7.13966033596492,7.00397413672268,1939,0,122032,52.8834,-114.6,7.450660796211539,8.699681400989514,3,63,13.500801182986649
1789,6762813975,42522,4,2.5,8.068089626278244,8.970813341411448,2.0,0,2,3,9,8.068089626278244,0.0,2001,0,122008,52.7617,-114.056,7.875119281040293,8.815815203906352,2,61,13.495299784149882
1791,6762814619,42522,3,1.5,7.518064181233078,9.209439966733019,2.0,0,0,5,8,7.518064181233078,0.0,1961,0,122050,52.9445,-114.559,7.650168700845001,9.431481920619719,2,63,13.438634364432907
1792,6762814800,42522,3,2.25,7.8674885686991285,9.105313134108476,2.0,0,0,3,9,7.8674885686991285,0.0,1988,0,122005,52.9209,-114.294,7.749753406274437,9.02485381183907,2,59,13.42246945133505
1793,6762814941,42522,4,2.5,7.905072849498666,8.612685172875459,2.0,0,0,3,9,7.905072849498666,0.0,1999,0,122019,52.8327,-114.213,7.905072849498666,8.739216115061744,3,50,13.412793171409328
1794,6762814971,42522,4,2.5,7.908754738783246,9.210440366976517,2.0,0,0,3,10,7.908754738783246,0.0,1987,0,122019,52.8593,-114.241,7.908754738783246,9.212438170058329,3,80,13.407543823396258
1795,6762815036,42522,4,2.25,7.596392304064196,8.434028950155469,1.5,0,2,4,8,7.259116128097101,6.3473892096560105,1932,0,122064,52.7938,-114.57,7.501634457883413,8.657129031713755,3,71,13.401510631691982
1796,6762815192,42522,3,2.5,7.736743682453495,8.153637486385282,2.0,0,0,3,9,7.736743682453495,0.0,2006,0,122011,52.7851,-114.191,7.75833346749091,8.196161139282902,1,65,13.389333939650964
1797,6762815394,42522,4,2.5,7.796057974316123,9.575052927597383,1.0,0,0,5,8,7.421177528595393,6.634633357861686,1963,0,122030,52.8502,-114.328,7.669028288589683,9.110409533351133,2,62,13.377007146164305
1798,6762815567,42522,3,2.5,7.581209826196346,8.334951631422454,1.0,0,0,4,8,6.8885724595653635,6.8885724595653635,1940,0,122051,52.7955,-114.46,7.273092595999522,8.881975184248867,2,60,13.361381852676738
1799,6762815708,42522,3,2.0,7.473637108496206,8.517393171418904,1.0,0,0,5,7,6.8679744089702925,6.68586094706836,1920,0,122032,52.8708,-114.593,7.2305631534092925,8.517393171418904,2,74,13.351888125506433
1800,6762815992,42522,4,2.5,7.67368812926773,9.112837790614945,2.0,0,0,4,8,7.67368812926773,0.0,1985,0,122005,52.9579,-114.297,7.7102051944325325,9.104535313079205,2,70,13.329379172803593
1801,6762816086,42522,5,2.5,8.291797105048733,8.253227645581772,1.0,0,0,4,8,7.596392304064196,7.601402334583733,1962,0,122047,52.8536,-114.489,7.645397699428633,8.517393171418904,3,60,13.321215875492413
1803,6762816785,42522,4,2.5,7.7057128238944275,8.862908295118627,2.0,0,0,3,8,7.7057128238944275,0.0,1988,0,122011,52.8016,-114.212,7.7057128238944275,8.916237731721479,2,80,13.270785106659046
1804,6762817142,42522,3,2.75,7.687538766201629,8.925321416943886,1.0,0,0,4,7,7.1785454837637,6.769641976852503,1981,0,122005,52.9259,-114.315,7.32052696227274,8.868976189274543,1,76,13.250758351186132
1805,6762817397,42522,3,2.75,7.983098940710892,8.62515033292133,1.0,0,0,3,9,7.528869256642251,6.976348070447749,2004,0,122021,52.9948,-114.354,7.855932199718614,9.309823650461134,3,55,13.23551526136861
1806,6762817579,42522,3,2.0,7.501634457883413,8.525359754082631,1.5,0,0,3,7,7.501634457883413,0.0,1925,0,122028,52.9159,-114.529,7.325807502595773,7.988203597022576,2,71,13.217675375388819
1807,6762817580,42522,3,2.5,7.518064181233078,8.01829613851552,1.0,0,0,3,7,6.825460036255307,6.825460036255307,1926,0,122004,52.8857,-114.517,7.484930283289661,8.294299608857235,1,64,13.217675375388819
1808,6762817887,42522,3,1.5,7.490529402060711,9.012377119192271,1.5,0,1,3,7,7.490529402060711,0.0,1910,0,122009,52.8068,-114.593,7.581209826196346,8.70748291785937,2,62,13.206706364071684
1809,6762817944,42522,4,1.75,7.450660796211539,8.352554369474591,1.5,0,0,4,7,7.2868764117507,5.564520407322694,1925,0,122054,52.809,-114.484,7.565793282428515,8.361941906144946,2,52,13.199326270390594
1810,6762818118,42522,3,2.5,7.43307534889858,9.172326929777967,2.0,0,0,3,8,7.43307534889858,0.0,1984,0,122012,52.7947,-114.282,7.528869256642251,9.100413892597578,3,80,13.190023895035274
1811,6762818417,42522,4,2.5,7.976251943745623,8.940105213128122,2.0,0,2,3,9,7.976251943745623,0.0,2006,0,122024,52.5852,-114.191,8.068089626278244,8.622093601241607,1,72,13.171155446333852
1812,6762819079,42522,3,2.0,7.450660796211539,8.617219505483362,1.0,0,2,5,7,6.8679744089702925,6.634633357861686,1941,0,122059,52.789,-114.488,7.473637108496206,8.617219505483362,3,79,13.122365377402328
1815,6762820191,42522,3,1.0,6.85751406254539,8.35490952835879,1.5,0,0,5,6,6.85751406254539,0.0,1948,0,122044,52.839,-114.497,7.664346632098617,8.54110501146255,3,73,13.058360179622305
1816,6762820260,42522,3,1.75,7.544861068658458,8.854379458771108,1.0,0,0,3,7,7.1631723908466425,6.398594934535208,1965,0,122051,52.7857,-114.47,7.273092595999522,8.590257762273243,1,67,13.050869523924664
1817,6762820608,42522,2,1.0,7.065613363597717,8.699681400989514,1.0,0,0,4,7,6.878326468291325,5.303304908059076,1941,0,122028,52.9294,-114.544,7.664346632098617,8.700014623251842,1,68,13.02805489573287
1818,6762820609,42522,2,1.0,7.039660349862076,8.651898894268529,1.0,0,0,3,7,6.7464121285733745,5.673323267171493,1947,0,122006,52.9127,-114.488,7.252053951852814,8.671286726753637,2,62,13.02805489573287
1819,6762821204,42522,2,1.0,7.01301578963963,8.824824939175638,1.0,0,0,5,7,6.90875477931522,4.709530201312334,1947,0,122038,52.9484,-114.545,7.252053951852814,8.848509300888079,3,65,12.994873128839215
1820,6762821212,42522,4,2.75,7.75833346749091,9.308827318690836,1.0,0,0,3,8,7.450660796211539,6.431331081933479,1967,0,122014,52.9986,-114.468,7.771067086065406,9.387816877106937,2,77,12.994532278619134
1821,6762821329,42522,2,2.0,7.252053951852814,9.415971471539095,1.5,0,0,5,8,7.252053951852814,0.0,1909,1988,122036,52.7542,-114.116,7.252053951852814,9.097395612960048,3,78,12.994304980578146
1822,6762821332,42522,3,1.5,7.02197642307216,8.839421607620602,1.0,0,0,5,7,7.02197642307216,0.0,1956,0,122030,52.8323,-114.322,7.170888478512505,8.853808274977197,3,64,12.994077630861014
1823,6762821577,42522,3,2.5,7.714677473800927,8.773539383558166,2.0,0,0,3,7,7.714677473800927,0.0,2002,0,122008,52.7656,-114.071,7.8674885686991285,8.542665987389269,3,65,12.977339917490127
1824,6762821641,42522,2,1.0,6.898714534329988,8.476996001664824,1.0,0,0,3,7,6.898714534329988,0.0,1947,0,122007,52.9176,-114.585,7.074116816197362,8.517393171418904,3,51,12.971542813248437
1825,6762822439,42522,4,2.75,7.67368812926773,9.201904893155081,1.0,0,0,5,8,7.123672785204607,6.814542897259958,1976,0,122053,52.7678,-114.36,7.591357046698551,9.140561477368266,2,77,12.926350926565435
1826,6762822457,42522,4,1.75,7.490529402060711,9.382274835883651,1.0,0,0,4,7,7.307202314764738,5.707110264748875,1969,0,122012,52.752,-114.237,7.534228326274089,9.372544251851037,1,50,12.923914877701906
1827,6762822630,42522,2,1.75,7.444833273892193,8.351138607086154,2.0,0,0,3,7,7.193685818395112,5.942799375126701,1920,1979,122016,52.7619,-114.576,7.333676395657684,8.424419791263883,2,71,12.91164481522143
1828,6762822707,42522,3,1.5,7.616283561580385,9.091669442258505,1.0,0,0,3,7,7.193685818395112,6.55250788703459,1963,0,122059,52.7886,-114.501,7.669028288589683,8.629271094821588,1,70,12.90917263218775
1830,6762823104,42522,1,1.0,6.594413459749778,8.006700845440367,1.0,0,0,3,7,6.594413459749778,0.0,1911,0,122026,52.9041,-114.586,7.327123292259293,8.517393171418904,1,51,12.886643575525625
1832,6762823631,42522,2,1.0,7.099201743553092,8.476579508530941,1.0,0,0,3,8,6.966967138613983,5.017279836814924,1950,0,122059,52.7925,-114.506,7.2305631534092925,8.476579508530941,3,79,12.847929163278053
1833,6762824227,42522,3,1.75,7.32052696227274,9.024251728612985,1.0,0,0,3,7,7.32052696227274,0.0,1967,0,122033,52.9543,-114.412,7.2868764117507,8.976009475021396,2,79,12.810391344620207
1834,6762824843,42522,3,2.5,7.893945138235959,8.966611387052865,2.0,0,0,3,8,7.893945138235959,0.0,1990,2009,122023,52.5503,-114.375,7.75833346749091,8.99230873254815,3,61,12.765691290604371
1835,6762825138,42522,3,1.75,7.596392304064196,8.639587799629844,1.0,0,1,3,7,7.186144304522325,6.508769136971682,1963,0,122063,52.7386,-114.442,7.664346632098617,8.639587799629844,3,78,12.75130259456002
1837,6762825954,42522,3,1.5,7.186144304522325,9.488047863280759,1.0,0,0,3,7,7.186144304522325,0.0,1970,0,122015,52.7309,-114.333,7.456454555176209,9.488047863280759,2,61,12.69771850797869
1838,6762826246,42522,5,2.5,8.013343181386672,9.973106894416185,1.0,0,0,4,8,7.32052696227274,7.32052696227274,1978,0,122035,52.5692,-114.321,7.384610383176974,9.707837565530841,2,75,12.676079399771027
1839,6762826440,42522,3,2.25,7.664346632098617,9.073603848402712,1.0,0,0,3,8,7.359467638255621,6.329720905522696,1987,0,122067,52.6502,-114.394,7.664346632098617,9.156728602527533,3,50,12.663500657121004
1840,6762826467,42522,3,1.0,6.8679744089702925,8.800113946766308,1.0,0,0,3,6,6.8679744089702925,0.0,1952,0,122022,52.9564,-114.5,7.359467638255621,8.882391706295847,3,72,12.660331092405906
1841,6762826893,42522,2,1.5,7.039660349862076,8.000014093678072,2.0,0,0,3,7,7.039660349862076,0.0,1988,0,122011,52.8007,-114.208,7.048386408721883,8.000349495324684,2,53,12.628070334272698
1842,6762826894,42522,3,1.0,6.85751406254539,9.508665604526444,1.0,0,0,3,7,6.85751406254539,0.0,1950,0,122014,52.9843,-114.496,7.123672785204607,9.09504174761272,3,65,12.628070334272698
1843,6762827072,42522,4,2.5,7.635786861395585,8.919586920999915,2.0,0,0,3,8,7.635786861395585,0.0,2003,0,122023,52.5652,-114.379,7.796057974316123,8.612685172875459,1,62,12.611541086966115
